SL,Country,SL,Country,Division,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
45,Bangladesh,45,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,S. Rajanogar,9,,,, Khorshed Taluk ,,,,,2114,409,,0,0,,,,,,,,,,,,,,,,
46,Bangladesh,46,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,pourasova,1,,,, North Noagoan ,,,,,3321,620,,0,0,,,,,,,,,,,,,,,,
47,Bangladesh,47,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,pourasova,2,,,, Fakirkhill ,,,,,2263,359,,0,0,,,,,,,,,,,,,,,,
48,Bangladesh,48,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,pourasova,3,,,, Jungle Ghatchek ,,,,,4546,1367,,0,0,,,,,,,,,,,,,,,,
49,Bangladesh,49,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,pourasova,4,,,, South Ghatchek ,,,,,500,198,,0,0,,,,,,,,,,,,,,,,
50,Bangladesh,50,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,pourasova,5,,,, North Ghatchek ,,,,,1900,574,,0,0,,,,,,,,,,,,,,,,
51,Bangladesh,51,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,pourasova,6,,,, Debkinandan ,,,,,3395,765,,0,0,,,,,,,,,,,,,,,,
52,Bangladesh,52,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,pourasova,7,,,, Debkinandan ,,,,,5000,1287,,0,0,,,,,,,,,,,,,,,,
53,Bangladesh,53,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,pourasova,8,,,, Soyod bari ,,,,,5252,1623,,0,0,,,,,,,,,,,,,,,,
54,Bangladesh,54,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,pourasova,9,,,, Esamoti ,,,,,2574,563,,0,0,,,,,,,,,,,,,,,,
55,Bangladesh,55,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Padua,1,Rotna Barua,,, Narishcha ,,,,,6300,1832,,0,0,,,,,,,,,,,,,,,,
56,Bangladesh,56,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Padua,2,Rotna Barua,,, North Padua ,,,,,4243,1543,,350,350,,,,,,,,,,,,,,,,
57,Bangladesh,57,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Padua,3,Rotna Barua,,, Horihor ,,,,,4935,1648,,625,625,,,,,,,,,,,,,,,,
58,Bangladesh,58,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Padua,4,Jomadar tila,,, Jomadar Tila ,,,,,4901,1467,,0,0,,,,,,,,,,,,,,,,
59,Bangladesh,59,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Padua,5,Happy Barua,,, Joynagar ,,,,,7850,2158,,650,650,,,,,,,,,,,,,,,,
60,Bangladesh,60,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Padua,6,Ronjona Dey,,, West Khurushia ,,,,,5994,1987,,0,0,,,,,,,,,,,,,,,,
61,Bangladesh,61,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Padua,7,Ronjona Dey,,, East Khurushia ,,,,,7390,2642,,0,0,,,,,,,,,,,,,,,,
62,Bangladesh,62,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Padua,8,Happy Barua,,, Shukhbilash ,,,,,5381,1367,,0,0,,,,,,,,,,,,,,,,
63,Bangladesh,63,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Padua,9,,,, Napit Pukuria ,,,,,5554,1482,,0,1350,,,,,,,,,,,,,,,,
64,Bangladesh,64,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Betagi,1,,,, West Betagi ,,,,,2048,486,,0,0,,,,,,,,,,,,,,,,
65,Bangladesh,65,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Betagi,2,,,, North Betagi ,,,,,3185,672,,0,0,,,,,,,,,,,,,,,,
66,Bangladesh,66,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Betagi,3,,,, Middle Betagi ,,,,,2237,326,,0,0,,,,,,,,,,,,,,,,
67,Bangladesh,67,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Betagi,4,,,, Noth Betagi ,,,,,3587,672,,0,0,,,,,,,,,,,,,,,,
68,Bangladesh,68,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Betagi,5,,,, Barua para ,,,,,3834,752,,0,279,,,,,,,,,,,,,,,,
69,Bangladesh,69,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Betagi,6,,,, Tin Soudia ,,,,,3257,678,,0,0,,,,,,,,,,,,,,,,
70,Bangladesh,70,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Betagi,7,,,, Chengkhali ,,,,,3756,598,,0,0,,,,,,,,,,,,,,,,
71,Bangladesh,71,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Betagi,8,,,, Kaukhali ,,,,,3293,601,,0,0,,,,,,,,,,,,,,,,
72,Bangladesh,72,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Betagi,9,,,, Gungunia Betagi ,,,,,4184,731,,0,0,,,,,,,,,,,,,,,,
73,Bangladesh,73,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Sharafbata,1,,,, Mirerkhill ,,,,,3645,526,,0,0,,,,,,,,,,,,,,,,
74,Bangladesh,74,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Sharafbata,2,,,, Hazarikhill ,,,,,3582,698,,0,0,,,,,,,,,,,,,,,,
75,Bangladesh,75,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Sharafbata,3,Sayoda kamrun nur,,, Kolir baper bari ,,,,,2495,432,,252,752,,,,,,,,,,,,,,,,
76,Bangladesh,76,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Sharafbata,4,,,, Soyodur khill ,,,,,3767,409,,0,0,,,,,,,,,,,,,,,,
77,Bangladesh,77,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Sharafbata,5,,,, Tokimiajir bari ,,,,,3967,472,,0,0,,,,,,,,,,,,,,,,
78,Bangladesh,78,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Sharafbata,6,,,, Lalmia Shawdagar bari ,,,,,4528,643,,0,0,,,,,,,,,,,,,,,,
79,Bangladesh,79,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Sharafbata,7,,,, Bhumir khill ,,,,,3560,346,,0,0,,,,,,,,,,,,,,,,
80,Bangladesh,80,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Sharafbata,8,,,, Kazi para ,,,,,2639,463,,0,0,,,,,,,,,,,,,,,,
81,Bangladesh,81,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Sharafbata,9,,,, Purba Sharafbhata ,,,,,4933,642,,0,0,,,,,,,,,,,,,,,,
82,Bangladesh,82,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Morium nogar,1,,,, East Soyod bari ,,,,,3994,839,,0,0,,,,,,,,,,,,,,,,
83,Bangladesh,83,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Morium nogar,2,,,, Rashidia para ,,,,,3418,802,,0,0,,,,,,,,,,,,,,,,
84,Bangladesh,84,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Morium nogar,3,,,, Amiriapara Panchbari ,,,,,1400,398,,0,0,,,,,,,,,,,,,,,,
85,Bangladesh,85,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Morium nogar,4,,,, Morom para ,,,,,2082,589,,0,0,,,,,,,,,,,,,,,,
86,Bangladesh,86,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Morium nogar,5,,,, Maijpara ,,,,,1880,488,,0,0,,,,,,,,,,,,,,,,
87,Bangladesh,87,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Morium nogar,6,,,, Fulgazi para ,,,,,2697,570,,0,0,,,,,,,,,,,,,,,,
88,Bangladesh,88,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Morium nogar,7,,,, Forasdanga ,,,,,2176,445,,0,0,,,,,,,,,,,,,,,,
89,Bangladesh,89,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Morium nogar,8,,,, Katakhali ,,,,,1728,431,,0,0,,,,,,,,,,,,,,,,
90,Bangladesh,90,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Morium nogar,9,,,, Nojorer Tila ,,,,,1934,400,,0,0,,,,,,,,,,,,,,,,
91,Bangladesh,91,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Lalanogar,1,,,, Bashonalir bari ,,,,,2075,653,,0,0,,,,,,,,,,,,,,,,
92,Bangladesh,92,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Lalanogar,2,,,, Nisarmar bari ,,,,,2118,591,,0,0,,,,,,,,,,,,,,,,
93,Bangladesh,93,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Lalanogar,3,,,, Kurmaikul ,,,,,1800,470,,0,0,,,,,,,,,,,,,,,,
94,Bangladesh,94,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Lalanogar,4,,,, Rajok Shikdar para ,,,,,2724,550,,0,0,,,,,,,,,,,,,,,,
95,Bangladesh,95,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Lalanogar,5,,,, Bondarajpara ,,,,,2672,537,,0,0,,,,,,,,,,,,,,,,
96,Bangladesh,96,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Lalanogar,6,,,, Alamshah para ,,,,,2065,478,,0,0,,,,,,,,,,,,,,,,
97,Bangladesh,97,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Lalanogar,7,,,,Ghagra Khilmogol,,,,,2338,429,,0,0,,,,,,,,,,,,,,,,
98,Bangladesh,98,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Lalanogar,8,,,,Woahed akbor para,,,,,2521,502,,0,0,,,,,,,,,,,,,,,,
99,Bangladesh,99,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Lalanogar,9,,,,Pekuar kool,,,,,2236,409,,0,0,,,,,,,,,,,,,,,,
100,Bangladesh,100,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Pumra,1,,,,Hazi para,,,,,3268,672,,0,0,,,,,,,,,,,,,,,,
101,Bangladesh,101,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Pumra,2,,,,Saini para,,,,,3378,335,,0,0,,,,,,,,,,,,,,,,
102,Bangladesh,102,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Pumra,3,Rehena Akter,,,Hilagazi Para,,,,,2555,467,,0,0,,,,,,,,,,,,,,,,
103,Bangladesh,103,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Pumra,4,,,,Roshaipara,,,,,4545,677,,0,900,,,,,,,,,,,,,,,,
104,Bangladesh,104,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Pumra,5,,,,Nababipara,,,,,1446,211,,0,0,,,,,,,,,,,,,,,,
105,Bangladesh,105,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Pumra,6,,,,Tita Gazi para,,,,,5564,1009,,0,0,,,,,,,,,,,,,,,,
106,Bangladesh,106,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Pumra,7,,,,Kazi para,,,,,2732,337,,0,0,,,,,,,,,,,,,,,,
107,Bangladesh,107,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Pumra,8,,,,Bacha shah Nagar,,,,,4158,755,,0,0,,,,,,,,,,,,,,,,
108,Bangladesh,108,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Pumra,9,,,,Hazi para,,,,,2935,388,,0,0,,,,,,,,,,,,,,,,
109,Bangladesh,109,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Chandragona,1,,,,Kadamtali,,,,,2250,432,,0,0,,,,,,,,,,,,,,,,
110,Bangladesh,110,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Chandragona,2,,,,West Kodomtoli,,,,,2949,432,,0,0,,,,,,,,,,,,,,,,
111,Bangladesh,111,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Chandragona,3,,,,Adarsha Gram,,,,,2377,202,,0,0,,,,,,,,,,,,,,,,
112,Bangladesh,112,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Chandragona,4,,,,Adur para,,,,,2290,189,,0,0,,,,,,,,,,,,,,,,
113,Bangladesh,113,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Chandragona,5,,,,Sufigram,,,,,2176,240,,0,0,,,,,,,,,,,,,,,,
114,Bangladesh,114,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Chandragona,6,,,,Hajigram,,,,,2332,546,,0,0,,,,,,,,,,,,,,,,
115,Bangladesh,115,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Chandragona,7,,,,Nobogram,,,,,5525,1077,,0,0,,,,,,,,,,,,,,,,
116,Bangladesh,116,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Chandragona,8,,,,Dobhashi Bazar,,,,,2421,430,,0,0,,,,,,,,,,,,,,,,
117,Bangladesh,117,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Chandragona,9,,,,Bonogram,,,,,2741,643,,0,395,,,,,,,,,,,,,,,,
118,Bangladesh,118,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Shonirbar,1,,,,Asrayan prokolpo,,,,,2135,406,,0,0,,,,,,,,,,,,,,,,
119,Bangladesh,119,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Shonirbar,2,,,,Mohammad para,,,,,2401,399,,0,0,,,,,,,,,,,,,,,,
120,Bangladesh,120,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Shonirbar,3,,,,Mojumdar para,,,,,2155,419,,0,0,,,,,,,,,,,,,,,,
121,Bangladesh,121,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Shonirbar,4,,,,South Anushikdar para,,,,,2478,432,,0,0,,,,,,,,,,,,,,,,
122,Bangladesh,122,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Shonirbar,5,,,,Gouropodo doctor bari,,,,,2204,436,,0,0,,,,,,,,,,,,,,,,
123,Bangladesh,123,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Shonirbar,6,,,,Shantinikaton,,,,,2490,474,,0,0,,,,,,,,,,,,,,,,
124,Bangladesh,124,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Shonirbar,7,,,,Brohmottor,,,,,2052,475,,0,0,,,,,,,,,,,,,,,,
125,Bangladesh,125,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Shonirbar,8,,,,Brohmottor,,,,,2111,444,,0,0,,,,,,,,,,,,,,,,
126,Bangladesh,126,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Shonirbar,9,,,,Mojumdar khill,,,,,1268,416,,0,0,,,,,,,,,,,,,,,,
127,Bangladesh,127,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Parua,1,,,,North parua,,,,,1758,509,,0,0,,,,,,,,,,,,,,,,
128,Bangladesh,128,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Parua,2,Jorifa Begum,,,North parua,,,,,1923,487,,0,0,,,,,,,,,,,,,,,,
129,Bangladesh,129,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Parua,3,,,,Saiod Nagar,,,,,1611,346,,0,350,,,,,,,,,,,,,,,,
130,Bangladesh,130,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Parua,4,,,,Saiod nagar,,,,,2157,436,,0,0,,,,,,,,,,,,,,,,
131,Bangladesh,131,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Parua,5,,,,Middle parua,,,,,2083,591,,0,0,,,,,,,,,,,,,,,,
132,Bangladesh,132,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Parua,6,,,,Jungle parua,,,,,1778,468,,0,0,,,,,,,,,,,,,,,,
133,Bangladesh,133,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Parua,7,,,,Kokania,,,,,1915,532,,0,0,,,,,,,,,,,,,,,,
134,Bangladesh,134,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Parua,8,,,,Shahabdi nagar,,,,,1986,530,,0,0,,,,,,,,,,,,,,,,
135,Bangladesh,135,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Parua,9,,,,East shahabdi nagar,,,,,1711,374,,0,0,,,,,,,,,,,,,,,,
136,Bangladesh,136,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Hosnabad,1,,,,Gahgra Khillmogol,,,,,1132,289,,0,0,,,,,,,,,,,,,,,,
137,Bangladesh,137,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Hosnabad,2,,,,Khillmogol Gazalia,,,,,2261,432,,0,0,,,,,,,,,,,,,,,,
138,Bangladesh,138,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Hosnabad,3,,,,Khillmogol,,,,,2056,431,,0,0,,,,,,,,,,,,,,,,
139,Bangladesh,139,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Hosnabad,4,Kaji Shahida,,,East Khillmogol,,,,,1373,325,,0,0,,,,,,,,,,,,,,,,
140,Bangladesh,140,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Hosnabad,5,,,,Khargola,,,,,1470,258,,0,0,,,,,,,,,,,,,,,,
141,Bangladesh,141,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Hosnabad,6,,,,Soth Nishchintapur,,,,,2327,386,,0,0,,,,,,,,,,,,,,,,
142,Bangladesh,142,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Hosnabad,7,,,,West Nishchintapur,,,,,2766,432,,0,0,,,,,,,,,,,,,,,,
143,Bangladesh,143,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Hosnabad,8,,,,Fuittagoda,,,,,1748,362,,0,0,,,,,,,,,,,,,,,,
144,Bangladesh,144,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Hosnabad,9,,,,Shegunbagan,,,,,1308,324,,0,0,,,,,,,,,,,,,,,,
