SL,District,Sq No,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
48,Bandarban,48,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,08,,,,Gaira Para,গৈরা পাড়া,PAT802,22.884900,91.729701,350,,,,,,,,,,,,,,,,,,,,
49,Bandarban,49,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,08,,,,Hati Kumba Para,হাতি কুমবা পাড়া,PAT803,22.890353,91.738093,150,,,,,,,,,,,,,,,,,,,,
50,Bandarban,50,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,08,,,,Mara Kaila Para,মরা কৈলা পাড়া,PAT804,22.889776,91.733789,200,,,,,,,,,,,,,,,,,,,,
51,Bandarban,51,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,08,,,,Kalapani,কালাপানি,PAT805,22.882035,91.733880,200,,,,,,,,,,,,,,,,,,,,
52,Bandarban,52,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,09,,,,Balukhali,বালুখালি,PAT901,22.891725,91.719474,750,,,,,,,,,,,,,,,,,,,,
53,Bandarban,53,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,09,,,,Sonar Khil,সোনার খীল,PAT902,22.905637,91.732880,220,,,,,,,,,,,,,,,,,,,,
54,Bandarban,54,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,09,,,,Rupaising Para,রূপাইসিং পাড়া,PAT903,22.894245,91.728744,80,,,,,,,,,,,,,,,,,,,,
55,Bandarban,55,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,01,,,,Lachari Para,লাচারী পাড়া,RAG101,23.037468,91.771798,200,,,,,,,,,,,,,,,,,,,,
56,Bandarban,56,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,01,,,,Banabihar,বনবিহার,RAG102,23.020197,91.775554,160,,,,,,,,,,,,,,,,,,,,
57,Bandarban,57,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,01,,,,Chota Kheda,ছোট খেদা,RAG103,23.012757,91.756116,212,,,,,,,,,,,,,,,,,,,,
58,Bandarban,58,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,01,,,,Bara Kheda,বড় খেদা,RAG104,23.023432,91.765242,12,,,,,,,,,,,,,,,,,,,,
59,Bandarban,59,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,01,,,,Kashi Bari,কাশী বাড়ি,RAG105,23.019251,91.754671,80,,,,,,,,,,,,,,,,,,,,
60,Bandarban,60,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,01,,,,Pilak Ghat,পিলাক ঘাট,RAG106,23.025060,91.778213,8,,,,,,,,,,,,,,,,,,,,
61,Bandarban,61,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,01,,,,Lachari Para BGB Camp,লাচারী পাড়া বিজিবি ক্যাম্প,RAG107,23.031731,91.772072,,,,,,,,,,,,,,,,,,,,,
62,Bandarban,62,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,01,,,,Kashi Bari BGB Camp,কাশী বাড়ি বিজিবি ক্যাম্প,RAG108,23.017931,91.754462,,,,,,,,,,,,,,,,,,,,,
63,Bandarban,63,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,02,,,,Ujai Chowdhury Para,উজাই চৌধুরী পাড়া,RAG201,23.004540,91.774092,100,,,,,,,,,,,,,,,,,,,,
64,Bandarban,64,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,02,,,,Muslim Para,মুসলিম পাড়া,RAG202,23.008964,91.776071,48,,,,,,,,,,,,,,,,,,,,
65,Bandarban,65,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,02,,,,Angtu Para,অংতু পাড়া,RAG203,23.011652,91.775048,200,,,,,,,,,,,,,,,,,,,,
66,Bandarban,66,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,02,,,,Kalaprue Para,কলাপ্রু পাড়া,RAG204,23.013971,91.779568,120,,,,,,,,,,,,,,,,,,,,
67,Bandarban,67,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,02,,,,Chingchhari Para,চিংছড়ি পাড়া ,RAG205,22.996623,91.753033,120,,,,,,,,,,,,,,,,,,,,
68,Bandarban,68,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,02,,,,Aunghla Para,অংহ্লা পাড়া,RAG206,23.002667,91.758940,108,,,,,,,,,,,,,,,,,,,,
69,Bandarban,69,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,02,,,,Raj Para,রাজ পাড়া,RAG207,23.017485,91.781447,60,,,,,,,,,,,,,,,,,,,,
70,Bandarban,70,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,03,,,,Joutha Khamar,যৌথ খামার,RAG301,22.983358,91.782145,260,,,,,,,,,,,,,,,,,,,,
71,Bandarban,71,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,03,,,,Bazar Chowdhury Para,বাজার চৌধুরী পাড়া,RAG302,22.986371,91.787038,128,,,,,,,,,,,,,,,,,,,,
72,Bandarban,72,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,03,,,,Baidya Para,বৈদ্য পাড়া,RAG303,22.992811,91.780838,360,,,,,,,,,,,,,,,,,,,,
73,Bandarban,73,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,03,,,,Kanta Para,কান্ত পাড়া,RAG304,23.003561,91.789349,120,,,,,,,,,,,,,,,,,,,,
74,Bandarban,74,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,03,,,,Russia Para,রাশিয়া পাড়া,RAG305,22.997947,91.796734,128,,,,,,,,,,,,,,,,,,,,
75,Bandarban,75,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,03,,,,Taikathang Para,তৈকাথাং পাড়া,RAG306,23.002225,91.784254,120,,,,,,,,,,,,,,,,,,,,
76,Bandarban,76,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,03,,,,Daktar Para (Hazchhara),ডাক্তার পাড়া (হাজছড়া),RAG307,22.999533,91.780406,160,,,,,,,,,,,,,,,,,,,,
77,Bandarban,77,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,03,,,,Baidya Para BGB Camp,বৈদ্য পাড়া বিজিবি ক্যাম্প,RAG308,22.998152,91.777633,,,,,,,,,,,,,,,,,,,,,
78,Bandarban,78,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,04,,,,Uttar Sonai Aga,উত্তর সোনাই আগা,RAG401,22.964376,91.748607,80,,,,,,,,,,,,,,,,,,,,
79,Bandarban,79,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,04,,,,Brata Chandra Para,ব্রত চন্দ্র পাড়া,RAG402,22.971597,91.756346,155,,,,,,,,,,,,,,,,,,,,
80,Bandarban,80,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,04,,,,Ramgarh Joutha Khamar,রামগড় যৌথ খামার,RAG403,22.977145,91.773532,115,,,,,,,,,,,,,,,,,,,,
81,Bandarban,81,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,04,,,,Dhaka Colony,ঢাকা কলোনি,RAG404,22.962363,91.778521,90,,,,,,,,,,,,,,,,,,,,
82,Bandarban,82,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,04,,,,Nurpur,নূরপুর,RAG405,22.989786,91.753487,150,,,,,,,,,,,,,,,,,,,,
83,Bandarban,83,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,04,,,,Chand Para,চান্দ পাড়া,RAG406,22.969092,91.777616,125,,,,,,,,,,,,,,,,,,,,
84,Bandarban,84,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,04,,,,Tokaniachhara Para,তোকানিয়াছড়া পাড়া,RAG407,22.966402,91.758047,215,,,,,,,,,,,,,,,,,,,,
85,Bandarban,85,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,05,,,,Dakkhin Lamku Para,দক্ষিণ লামকু পাড়া,RAG501,22.953738,91.740368,190,,,,,,,,,,,,,,,,,,,,
86,Bandarban,86,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,05,,,,Uttar Lamku Para,উত্তর লামকু পাড়া,RAG502,22.967473,91.733670,720,,,,,,,,,,,,,,,,,,,,
87,Bandarban,87,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,05,,,,Madhyam Lamku Para,মধ্যম লামকু পাড়া,RAG503,22.960472,91.735932,850,,,,,,,,,,,,,,,,,,,,
88,Bandarban,88,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,05,,,,Dakkhin Sonai Aga,দক্ষিণ সোনাই আগা,RAG504,22.962036,91.749049,100,,,,,,,,,,,,,,,,,,,,
89,Bandarban,89,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,06,,,,Lalchhari Para,লালছড়ি পাড়া,RAG601,22.928828,91.742522,880,,,,,,,,,,,,,,,,,,,,
90,Bandarban,90,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,06,,,,Thanachandra Para,থানাচন্দ্র পাড়া,RAG602,22.946903,91.740586,520,,,,,,,,,,,,,,,,,,,,
91,Bandarban,91,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,06,,,,Rambanu Para,রামবানু পাড়া,RAG603,22.937308,91.746340,75,,,,,,,,,,,,,,,,,,,,
92,Bandarban,92,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,06,,,,Sadhu Para,সাধু পাড়া,RAG604,22.941486,91.738276,125,,,,,,,,,,,,,,,,,,,,
93,Bandarban,93,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,06,,,,Garu Kata,গরু কাটা,RAG605,22.918033,91.758388,280,,,,,,,,,,,,,,,,,,,,
94,Bandarban,94,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,06,,,,Mangpru Para,মাংপ্রু পাড়া,RAG606,22.928814,91.760830,36,,,,,,,,,,,,,,,,,,,,
95,Bandarban,95,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,06,,,,Abayshe Para,আবাইশে পাড়া,RAG607,22.925008,91.766399,80,,,,,,,,,,,,,,,,,,,,
96,Bandarban,96,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,06,,,,Bariccha Tila,বারিচ্চা টিলা,RAG608,22.937476,91.734717,132,,,,,,,,,,,,,,,,,,,,
97,Bandarban,97,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,07,,,,Purba Bali Para,পূর্ব বলি পাড়া,RAG701,22.963119,91.728228,1200,,,,,,,,,,,,,,,,,,,,
98,Bandarban,98,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,07,,,,Pashchim Bali Para,পশ্চিম বলি পাড়া,RAG702,22.966259,91.722589,380,,,,,,,,,,,,,,,,,,,,
99,Bandarban,99,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,07,,,,Bali Para,বলি পাড়া,RAG703,22.963035,91.722125,420,,,,,,,,,,,,,,,,,,,,
100,Bandarban,100,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,07,,,,Kazi Para,কাজী পাড়া,RAG704,22.956776,91.727172,600,,,,,,,,,,,,,,,,,,,,
101,Bandarban,101,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,08,,,,Khagrabil,খাগড়াবিল ,RAG801,22.938359,91.729908,250,,,,,,,,,,,,,,,,,,,,
102,Bandarban,102,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,08,,,,Waifa Para,ওয়াইফা পাড়া,RAG802,22.948131,91.730276,980,,,,,,,,,,,,,,,,,,,,
103,Bandarban,103,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,08,,,,Barma Tila,বর্মা টিলা,RAG803,22.935256,91.727449,160,,,,,,,,,,,,,,,,,,,,
104,Bandarban,104,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,08,,,,Noa Para,নোয়া পাড়া,RAG804,22.929426,91.729015,360,,,,,,,,,,,,,,,,,,,,
105,Bandarban,105,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,09,,,,Kyangtila,কেয়াংটিলা,RAG901,22.933000,91.733586,140,,,,,,,,,,,,,,,,,,,,
106,Bandarban,106,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,09,,,,Banshpara,বাঁশপাড়া,RAG902,22.930313,91.733538,125,,,,,,,,,,,,,,,,,,,,
107,Bandarban,107,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,09,,,,Rupaichhari,রূপাইছড়ি ,RAG903,22.927532,91.734059,120,,,,,,,,,,,,,,,,,,,,
108,Bandarban,108,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,09,,,,Tarachan Para,তারাচান পাড়া,RAG904,22.921879,91.736141,190,,,,,,,,,,,,,,,,,,,,
109,Bandarban,109,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,09,,,,Najiram Para,নাজিরাম পাড়া,RAG905,22.916736,91.726313,168,,,,,,,,,,,,,,,,,,,,
110,Bandarban,110,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,09,,,,Nabbai Acre,নব্বই একর,RAG906,22.920484,91.727933,130,,,,,,,,,,,,,,,,,,,,
111,Bandarban,111,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,09,,,,Hatir Kheda,হাতির খেদা,RAG907,22.923849,91.725639,480,,,,,,,,,,,,,,,,,,,,
112,Bandarban,112,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh,09,,,,CIO Camp,সিআইও ক্যাম্প,RAG908,22.923322,91.728780,,,,,,,,,,,,,,,,,,,,,
113,Bandarban,113,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,01,,,,Balturam Tila,বল্টুরাম টিলা,RAM101,23.005491,91.745919,574,,,,,,,,,,,,,,,,,,,,
114,Bandarban,114,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,01,,,,Nitai Baishnab Para,নিতাই বৈষ্ণব পাড়া,RAM102,23.014668,91.749843,472,,,,,,,,,,,,,,,,,,,,
115,Bandarban,115,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,01,,,,Shamuk Chhara,শামুক ছড়া,RAM103,23.009681,91.750933,264,,,,,,,,,,,,,,,,,,,,
116,Bandarban,116,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,01,,,,Shashan Tila,শ্মশান টিলা,RAM104,23.002558,91.745611,560,,,,,,,,,,,,,,,,,,,,
117,Bandarban,117,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,01,,,,Chinchhari,চিনছড়ি,RAM105,23.002434,91.747902,212,,,,,,,,,,,,,,,,,,,,
118,Bandarban,118,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,02,,,,Office Tila,অফিস টিলা,RAM201,23.001654,91.736477,284,,,,,,,,,,,,,,,,,,,,
119,Bandarban,119,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,02,,,,Debar Para,ডেবার পাড়া,RAM202,22.999733,91.738357,368,,,,,,,,,,,,,,,,,,,,
120,Bandarban,120,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,02,,,,Jagannath Para,জগন্নাথ পাড়া,RAM203,23.001052,91.740765,320,,,,,,,,,,,,,,,,,,,,
121,Bandarban,121,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,02,,,,Sukendrai Para,সুকেন্দ্রাই পাড়া,RAM204,23.002386,91.741209,360,,,,,,,,,,,,,,,,,,,,
122,Bandarban,122,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,02,,,,Ramgarh Special Camp (BGB),রামগড় বিশেষ ক্যাম্প (বিজিবি),RAM205,23.002796,91.738802,,,,,,,,,,,,,,,,,,,,,
123,Bandarban,123,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,03,,,,Garjantali,গর্জনতলি,RAM301,22.996121,91.742218,232,,,,,,,,,,,,,,,,,,,,
124,Bandarban,124,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Ramgarh Pourasabha,03,,,,Sandwip Tila,সন্দ্বীপ টিলা,RAM302,23.000417,91.744575,2916,,,,,,,,,,,,,,,,,,,,
