SL,District,Sq No,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
21,Bandarban,21,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,03,,,,Kalai Para,কলাই পাড়া,GAL307,21.897000,92.352000,220,,,,,,,,,,,,,,,,,,,,
22,Bandarban,22,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,03,,,,Era Para,এরা পাড়া,GAL308,21.911000,92.336000,175,,,,,,,,,,,,,,,,,,,,
23,Bandarban,23,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,03,,,,Nilgiri Army Camp,নীলগীরি আর্মি ক্যাম্প,GAL309,21.911000,92.325000,50,,,,,,,,,,,,,,,,,,,,
24,Bandarban,24,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,04,,,,Ruitu Para,রুইতু পাড়া,GAL401,21.979000,92.358000,230,,,,,,,,,,,,,,,,,,,,
25,Bandarban,25,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,04,,,,Basadon Para,বাসাদন পাড়া,GAL402,21.973000,92.381000,80,,,,,,,,,,,,,,,,,,,,
26,Bandarban,26,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,04,,,,Surtui Para,সুরতুই পাড়া,GAL403,21.972000,92.363000,35,,,,,,,,,,,,,,,,,,,,
27,Bandarban,27,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,04,,,,Aunglai Para,অংলাই পাড়া,GAL404,21.953000,92.352000,240,,,,,,,,,,,,,,,,,,,,
28,Bandarban,28,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,04,,,,Khandoi Para,খানদৈ পাড়া,GAL405,21.950000,92.346000,35,,,,,,,,,,,,,,,,,,,,
29,Bandarban,29,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,04,,,,Khamchang Para,খামচং পাড়া,GAL406,21.963000,92.343000,70,,,,,,,,,,,,,,,,,,,,
30,Bandarban,30,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,04,,,,Mangthang Para,মাংতং পাড়া,GAL407,21.981000,92.333000,216,,,,,,,,,,,,,,,,,,,,
31,Bandarban,31,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,04,,,,Singchang Para,সিংচং পাড়া,GAL408,21.989000,92.317000,60,,,,,,,,,,,,,,,,,,,,
32,Bandarban,32,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,05,,,,Pale Para,পালে পাড়া,GAL501,21.977000,92.306000,160,,,,,,,,,,,,,,,,,,,,
33,Bandarban,33,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,05,,,,Kurang Bazar Para,কোরাং বাজার পাড়া,GAL502,21.974000,92.302000,300,,,,,,,,,,,,,,,,,,,,
34,Bandarban,34,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,05,,,,Laipung Headman Para,লাইপুং হেডম্যান পাড়া,GAL503,21.950000,92.341000,95,,,,,,,,,,,,,,,,,,,,
35,Bandarban,35,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,05,,,,Thangreng Para,থংরেং পাড়া,GAL504,21.945000,92.328000,172,,,,,,,,,,,,,,,,,,,,
36,Bandarban,36,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,05,,,,Menlong Para,মেনলং পাড়া,GAL505,21.953000,92.314000,220,,,,,,,,,,,,,,,,,,,,
37,Bandarban,37,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,05,,,,Menrula Para,মেনরুলা পাড়া,GAL506,21.970000,92.322000,185,,,,,,,,,,,,,,,,,,,,
38,Bandarban,38,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,05,,,,Longbaitong Para,লংবাইংতং পাড়া,GAL507,21.944000,92.311000,100,,,,,,,,,,,,,,,,,,,,
39,Bandarban,39,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,06,,,,Galengya Bagan Para,গালেংগ্যা বাগান পাড়া,GAL601,21.937000,92.346000,126,,,,,,,,,,,,,,,,,,,,
40,Bandarban,40,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,06,,,,Punarbasan Para,পূর্ণবাসন পাড়া,GAL602,21.929000,92.348000,180,,,,,,,,,,,,,,,,,,,,
41,Bandarban,41,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,06,,,,Chini Para,চিনি পাড়া,GAL603,21.940000,92.336000,45,,,,,,,,,,,,,,,,,,,,
42,Bandarban,42,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,06,,,,Mensing Para,মেনসিং পাড়া,GAL604,21.935000,92.318000,65,,,,,,,,,,,,,,,,,,,,
43,Bandarban,43,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,06,,,,Riamanai Para,রিয়ামানাই পাড়া,GAL605,21.925000,92.327000,76,,,,,,,,,,,,,,,,,,,,
44,Bandarban,44,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,06,,,,Galengya Bazar Para,গালেংগ্যা বাজার পাড়া,GAL606,21.934000,92.345000,35,,,,,,,,,,,,,,,,,,,,
45,Bandarban,45,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,06,,,,Galengya BGB Camp,গালেংগ্যা বিজিবি ক্যাম্প,GAL607,21.931000,92.344000,36,,,,,,,,,,,,,,,,,,,,
46,Bandarban,46,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,07,,,,Amai Para,আমাই পাড়া,GAL701,22.018000,92.321000,132,,,,,,,,,,,,,,,,,,,,
47,Bandarban,47,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,07,,,,Lamba Para,লাম্বা পাড়া,GAL702,22.030000,92.315000,45,,,,,,,,,,,,,,,,,,,,
48,Bandarban,48,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,07,,,,Abu Para,আবু পাড়া,GAL703,22.035000,92.314000,74,,,,,,,,,,,,,,,,,,,,
49,Bandarban,49,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,07,,,,Kilai Para,কিলাই পাড়া,GAL704,22.007000,92.289000,37,,,,,,,,,,,,,,,,,,,,
50,Bandarban,50,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,07,,,,Ruif Para,রুইফ পাড়া,GAL705,22.016000,92.289000,229,,,,,,,,,,,,,,,,,,,,
51,Bandarban,51,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,07,,,,Rangklang Para,রাংক্লাং পাড়া,GAL706,22.006000,92.289000,86,,,,,,,,,,,,,,,,,,,,
52,Bandarban,52,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,07,,,,Kengku Para /Chita Pahar,কেংকু পাড়া/ চিতা পাহাড়,GAL707,21.999000,92.293000,97,,,,,,,,,,,,,,,,,,,,
53,Bandarban,53,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,07,,,,Ampu Para,এম্পু পাড়া,GAL708,21.981000,92.299000,29,,,,,,,,,,,,,,,,,,,,
54,Bandarban,54,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,07,,,,Kumra Para,কুমড়া পাড়া,GAL709,21.998000,92.312000,119,,,,,,,,,,,,,,,,,,,,
55,Bandarban,55,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,07,,,,Langcha Para,লাংচা পাড়া,GAL710,22.010000,92.308000,121,,,,,,,,,,,,,,,,,,,,
56,Bandarban,56,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,08,,,,Pantala Marma Para,পান্তলা মার্মা পাড়া,GAL801,21.998000,92.394000,171,,,,,,,,,,,,,,,,,,,,
57,Bandarban,57,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,08,,,,Surtui Para,সুরতুই পাড়া,GAL802,22.015000,92.379000,50,,,,,,,,,,,,,,,,,,,,
58,Bandarban,58,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,08,,,,Menrum Para,মেনরুম পাড়া,GAL803,22.010000,92.366000,80,,,,,,,,,,,,,,,,,,,,
59,Bandarban,59,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,08,,,,Singpro Para,সিংপ্রো পাড়া,GAL804,22.021000,92.369000,51,,,,,,,,,,,,,,,,,,,,
60,Bandarban,60,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,08,,,,Rumroy Para,রুমরয় পাড়া,GAL805,22.027000,92.363000,54,,,,,,,,,,,,,,,,,,,,
61,Bandarban,61,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,09,,,,Numlai Headman Para,নুমলাই হেডম্যান পাড়া,GAL901,21.996000,92.354000,200,,,,,,,,,,,,,,,,,,,,
62,Bandarban,62,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,09,,,,Menrau Para,মেনরাও পাড়া,GAL902,22.007000,92.340000,150,,,,,,,,,,,,,,,,,,,,
63,Bandarban,63,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,09,,,,Bangkeng Para,বাংকেং পাড়া,GAL903,22.008000,92.342000,50,,,,,,,,,,,,,,,,,,,,
64,Bandarban,64,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,09,,,,Ruipio Para,রুইপিয় পাড়া,GAL904,22.018000,92.355000,130,,,,,,,,,,,,,,,,,,,,
65,Bandarban,65,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,09,,,,Baluk Para,বালুক পাড়া,GAL905,21.996000,92.327000,130,,,,,,,,,,,,,,,,,,,,
66,Bandarban,66,Bangladesh,Chattogram,Bandarban,Ruma,Galengya,09,,,,Namdui Para,নামদুই পাড়া,GAL906,22.009000,92.318000,160,,,,,,,,,,,,,,,,,,,,
67,Bandarban,67,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,01,,,,Mong Shaipruepara,মং শৈপ্রুপাড়া,PAI101,22.062000,92.347000,150,,,,,,,,,,,,,,,,,,,,
68,Bandarban,68,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,01,,,,Ganga Para,গংগা পাড়া,PAI102,22.074000,92.342000,75,,,,,,,,,,,,,,,,,,,,
69,Bandarban,69,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,01,,,,Kanan Para,কানান পাড়া,PAI103,22.108000,92.337000,85,,,,,,,,,,,,,,,,,,,,
70,Bandarban,70,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,01,,,,Tongmak Para,তংমক পাড়া,PAI104,22.096000,92.347000,300,,,,,,,,,,,,,,,,,,,,
71,Bandarban,71,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,01,,,,Mui Aungpara,মুই অংপাড়া,PAI105,22.122000,92.363000,12,,,,,,,,,,,,,,,,,,,,
72,Bandarban,72,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,01,,,,Bagan Para,বাগান পাড়া,PAI106,22.068000,92.355000,40,,,,,,,,,,,,,,,,,,,,
73,Bandarban,73,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,02,,,,Paindu Headman Para,পাইন্দু হেডম্যান পাড়া,PAI201,22.076000,92.368000,290,,,,,,,,,,,,,,,,,,,,
74,Bandarban,74,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,02,,,,Purba Bagan Para,পূর্ব বাগান পাড়া,PAI202,22.068000,92.357000,152,,,,,,,,,,,,,,,,,,,,
75,Bandarban,75,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,02,,,,Alechu Para,আলেচু পাড়া,PAI203,22.084000,92.357000,155,,,,,,,,,,,,,,,,,,,,
76,Bandarban,76,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,02,,,,Puratan Thoaibatang Para,পুরাতন থোয়াইবতং পাড়া,PAI204,22.090000,92.375000,35,,,,,,,,,,,,,,,,,,,,
77,Bandarban,77,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,02,,,,Natun Thoaibatang Para,নতুন থোয়াইবতং পাড়া,PAI205,22.101000,92.378000,68,,,,,,,,,,,,,,,,,,,,
78,Bandarban,78,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,02,,,,Saiagra Para,সায়াগ্র পাড়া,PAI206,22.075000,92.385000,40,,,,,,,,,,,,,,,,,,,,
79,Bandarban,79,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,03,,,,Chanda Para,চান্দা পাড়া,PAI301,22.086000,92.384000,550,,,,,,,,,,,,,,,,,,,,
80,Bandarban,80,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,03,,,,Sengum Para,সেংগুম পাড়া,PAI302,22.102000,92.406000,136,,,,,,,,,,,,,,,,,,,,
81,Bandarban,81,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,03,,,,Kyalongkhyong Para,ক্যালংক্ষ্যং পাড়া,PAI303,22.082000,92.418000,80,,,,,,,,,,,,,,,,,,,,
82,Bandarban,82,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,03,,,,Palitong Para,পলিতং পাড়া,PAI304,22.076000,92.400000,140,,,,,,,,,,,,,,,,,,,,
83,Bandarban,83,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,03,,,,Chairagra Para,চাইরাগ্র পাড়া,PAI305,22.088000,92.422000,170,,,,,,,,,,,,,,,,,,,,
84,Bandarban,84,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,04,,,,Niyangkkhyang Para,নিয়াংক্ষ্যাং পাড়া,PAI401,22.119000,92.420000,800,,,,,,,,,,,,,,,,,,,,
85,Bandarban,85,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,04,,,,Paroa Para,পরোয়া পাড়া,PAI402,22.111000,92.417000,120,,,,,,,,,,,,,,,,,,,,
86,Bandarban,86,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,04,,,,Khamtang Para,খামতাং পাড়া,PAI403,22.125000,92.382000,150,,,,,,,,,,,,,,,,,,,,
87,Bandarban,87,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,04,,,,Jurvarang Para,জুরভারং পাড়া,PAI404,22.114000,92.404000,200,,,,,,,,,,,,,,,,,,,,
88,Bandarban,88,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,04,,,,Langkkhiyang Para,লাংক্ষ্যাং পাড়া,PAI405,22.123000,92.428000,35,,,,,,,,,,,,,,,,,,,,
89,Bandarban,89,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,04,,,,Khamtang Para Army Camp,খামতাং পাড়া আর্মি ক্যাম্প,PAI406,22.124000,92.379000,,,,,,,,,,,,,,,,,,,,,
90,Bandarban,90,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,05,,,,Ronin Para,রোনিন পাড়া,PAI501,22.170000,92.445000,350,,,,,,,,,,,,,,,,,,,,
91,Bandarban,91,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,05,,,,Debachhara,দেবাছড়া,PAI502,22.164000,92.466000,85,,,,,,,,,,,,,,,,,,,,
92,Bandarban,92,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,05,,,,Line Para,লাইন পাড়া,PAI503,22.168000,92.491000,30,,,,,,,,,,,,,,,,,,,,
93,Bandarban,93,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,05,,,,Ronin Para Army Camp,রোনিন পাড়া আর্মি ক্যাম্প,PAI504,22.162000,92.444000,60,,,,,,,,,,,,,,,,,,,,
94,Bandarban,94,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,05,,,,Ram Jhu Tang Army Camp,রাম ঝু টাং আর্মি ক্যাম্প,PAI505,22.184000,92.484000,50,,,,,,,,,,,,,,,,,,,,
95,Bandarban,95,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,06,,,,Arthah Para,আরথাহ পাড়া,PAI601,22.118000,92.461000,228,,,,,,,,,,,,,,,,,,,,
96,Bandarban,96,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,06,,,,Munnuam Para,মুননুয়াম পাড়া,PAI602,22.121000,92.472000,395,,,,,,,,,,,,,,,,,,,,
97,Bandarban,97,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,06,,,,Paindu Ujani Para,পাইন্দু উজানী পাড়া,PAI603,22.087000,92.481000,48,,,,,,,,,,,,,,,,,,,,
98,Bandarban,98,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,06,,,,Chakramoni Para (Natun Para),চক্রমণি পাড়া (নতুন পাড়া),PAI604,22.147000,92.484000,110,,,,,,,,,,,,,,,,,,,,
99,Bandarban,99,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,06,,,,Chairagra Para,চাইরাগ্র পাড়া,PAI605,22.091000,92.424000,40,,,,,,,,,,,,,,,,,,,,
100,Bandarban,100,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,06,,,,Munnuam Para Army Camp,মুননুয়াম পাড়া আর্মি ক্যাম্প,PAI606,22.121000,92.467000,,,,,,,,,,,,,,,,,,,,,
101,Bandarban,101,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,06,,,,Kuttajhiri Army Camp,কুত্তাঝিরি আর্মি ক্যাম্প,PAI607,22.091000,92.488000,,,,,,,,,,,,,,,,,,,,,
102,Bandarban,102,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,06,,,,Kata Pahar Army Camp,কাটা পাহাড় আর্মি ক্যাম্প,PAI608,22.155000,92.428000,40,,,,,,,,,,,,,,,,,,,,
103,Bandarban,103,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,07,,,,Happyhill Para,হ্যাপীহিল পাড়া,PAI701,22.096000,92.431000,161,,,,,,,,,,,,,,,,,,,,
104,Bandarban,104,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,07,,,,Basatlang Para,বাসাত্লাং পাড়া,PAI702,22.108000,92.459000,164,,,,,,,,,,,,,,,,,,,,
105,Bandarban,105,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,07,,,,Mualpi Bom Para,মুয়ালপি বম পাড়া,PAI703,22.082000,92.461000,320,,,,,,,,,,,,,,,,,,,,
106,Bandarban,106,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,08,,,,Prangsa Para,প্রাংসা পাড়া,PAI801,22.062000,92.485000,396,,,,,,,,,,,,,,,,,,,,
107,Bandarban,107,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,08,,,,Mualpi Marma Para,মুয়ালপি মারমা পাড়া,PAI802,22.081000,92.462000,166,,,,,,,,,,,,,,,,,,,,
108,Bandarban,108,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,09,,,,Sanakra Para,সানাক্র পাড়া,PAI901,22.069000,92.452000,165,,,,,,,,,,,,,,,,,,,,
109,Bandarban,109,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,09,,,,Kyatai Para,ক্যতাই পাড়া,PAI902,22.063000,92.428000,168,,,,,,,,,,,,,,,,,,,,
110,Bandarban,110,Bangladesh,Chattogram,Bandarban,Ruma,Paindu,09,,,,Elim Chhandala Para,এলিম ছান্দালা পাড়া,PAI903,22.067000,92.434000,130,,,,,,,,,,,,,,,,,,,,
111,Bandarban,111,Bangladesh,Chattogram,Bandarban,Ruma,Remakriprangsa,01,,,,Darjeeling Para,দার্জিলিং পাড়া,REA101,21.959000,92.506000,67,,,,,,,,,,,,,,,,,,,,
112,Bandarban,112,Bangladesh,Chattogram,Bandarban,Ruma,Remakriprangsa,01,,,,Pasing Para,পাসিং পাড়া,REA102,21.944000,92.514000,119,,,,,,,,,,,,,,,,,,,,
113,Bandarban,113,Bangladesh,Chattogram,Bandarban,Ruma,Remakriprangsa,01,,,,Zadifai Para,জ্যাদিফাই পাড়া,REA103,21.934000,92.515000,35,,,,,,,,,,,,,,,,,,,,
114,Bandarban,114,Bangladesh,Chattogram,Bandarban,Ruma,Remakriprangsa,01,,,,Uddaymi Zadifai,উদ্যমি জ্যাদিফাই,REA104,21.931000,92.523000,20,,,,,,,,,,,,,,,,,,,,
115,Bandarban,115,Bangladesh,Chattogram,Bandarban,Ruma,Remakriprangsa,01,,,,MTS Para,এমটিএস পাড়া,REA105,21.919000,92.522000,138,,,,,,,,,,,,,,,,,,,,
116,Bandarban,116,Bangladesh,Chattogram,Bandarban,Ruma,Remakriprangsa,01,,,,Sunsang Para,সুনসং পাড়া,REA106,21.941000,92.543000,327,,,,,,,,,,,,,,,,,,,,
117,Bandarban,117,Bangladesh,Chattogram,Bandarban,Ruma,Remakriprangsa,01,,,,Keokradong Army Camp,কেওক্রাডং আর্মি ক্যাম্প,REA107,21.950000,92.514000,,,,,,,,,,,,,,,,,,,,,
118,Bandarban,118,Bangladesh,Chattogram,Bandarban,Ruma,Remakriprangsa,01,,,,Kanan Residential Model School Para,কানন রেসিডেন্সিয়াল মডেল স্কুল পাড়া,REA108,21.939000,92.518000,50,,,,,,,,,,,,,,,,,,,,
119,Bandarban,119,Bangladesh,Chattogram,Bandarban,Ruma,Remakriprangsa,01,,,,Sunsang Para Army Camp,সুনসং পাড়া আর্মি ক্যাম্প,REA109,21.945000,92.543000,,,,,,,,,,,,,,,,,,,,,
120,Bandarban,120,Bangladesh,Chattogram,Bandarban,Ruma,Remakriprangsa,02,,,,Langrong Para,লাংরং পাড়া,REA201,21.920000,92.610000,25,,,,,,,,,,,,,,,,,,,,
121,Bandarban,121,Bangladesh,Chattogram,Bandarban,Ruma,Remakriprangsa,02,,,,Thingdawlte Para,থিংদলতে পাড়া,REA202,21.902000,92.571000,,,,,,,,,,,,,,,,,,,,,
122,Bandarban,122,Bangladesh,Chattogram,Bandarban,Ruma,Remakriprangsa,02,,,,Thingdawlte Tlang Army Camp,থিংদলতে ত্ল্যাং আর্মি ক্যাম্প,REA203,21.909000,92.587000,,,,,,,,,,,,,,,,,,,,,
123,Bandarban,123,Bangladesh,Chattogram,Bandarban,Ruma,Remakriprangsa,03,,,,Thaikkiang Para,থাইক্ষ্যাং পাড়া,REA301,21.906000,92.540000,320,,,,,,,,,,,,,,,,,,,,
124,Bandarban,124,Bangladesh,Chattogram,Bandarban,Ruma,Remakriprangsa,03,,,,Hlaching Para,হ্লাচিং পাড়া,REA302,21.903000,92.510000,70,,,,,,,,,,,,,,,,,,,,
125,Bandarban,125,Bangladesh,Chattogram,Bandarban,Ruma,Remakriprangsa,03,,,,Jagatan Para,জগতন পাড়া,REA303,21.886000,92.509000,60,,,,,,,,,,,,,,,,,,,,
126,Bandarban,126,Bangladesh,Chattogram,Bandarban,Ruma,Remakriprangsa,04,,,,Saloupi Para,সালৌপি পাড়া,REA401,21.885000,92.587000,795,,,,,,,,,,,,,,,,,,,,
127,Bandarban,127,Bangladesh,Chattogram,Bandarban,Ruma,Remakriprangsa,04,,,,Painuam Para,পাইনুয়াম পাড়া,REA402,21.869000,92.568000,70,,,,,,,,,,,,,,,,,,,,
128,Bandarban,128,Bangladesh,Chattogram,Bandarban,Ruma,Remakriprangsa,04,,,,Kashpai Para,কেরশেপাই পাড়া,REA403,21.914000,92.614000,60,,,,,,,,,,,,,,,,,,,,
129,Bandarban,129,Bangladesh,Chattogram,Bandarban,Ruma,Remakriprangsa,04,,,,Laimai Para,লাইময় পাড়া,REA404,21.883000,92.621000,35,,,,,,,,,,,,,,,,,,,,
